400100,3385
400200,1939
400300,5428
400400,4279
400500,3516
400600,1750
400700,4396
400800,3218
400900,2031
401000,5505
401100,4240
401200,2345
401300,3815
401400,4297
401500,2131
401600,1919
401700,2603
401800,1794
402200,2446
402400,2846
402500,1909
402600,1029
402700,1647
402800,3299
402900,1399
403000,2471
403100,1782
403300,3785
403400,4361
403501,4495
403502,2018
403600,4398
403701,2473
403702,1902
403800,3455
403900,3992
404000,2805
404101,2911
404102,2511
404200,3436
404300,3348
404400,5156
404501,1754
404502,5383
404600,4473
404700,2071
404800,2894
404900,4338
405000,3403
405100,4084
405200,4521
405301,2659
405302,2714
405401,4324
405402,2774
405500,3901
405600,3203
405700,3366
405800,3924
405901,3820
405902,3521
406000,3258
406100,4901
406201,4230
406202,4534
406300,4399
406400,2305
406500,5950
406601,4987
406602,2591
406700,5039
406800,3621
406900,3861
407000,5729
407101,3882
407102,4492
407200,6433
407300,2558
407400,4360
407500,3735
407600,5785
407700,4373
407800,2737
407900,2857
408000,2791
408100,6463
408200,4106
408300,4714
408400,3536
408500,5658
408600,6466
408700,7440
408800,6181
408900,3245
409000,4037
409100,2223
409200,3182
409300,5093
409400,4508
409500,4057
409600,5004
409700,5285
409800,2887
409900,3321
410000,3260
410100,3044
410200,2976
410300,3523
410400,4093
410500,2335
420100,2356
420200,3131
420300,4733
420400,3700
420500,2344
420600,2756
421100,2108
421200,3672
421300,4093
421400,1721
421500,3793
421600,3502
421700,3660
421800,2211
421900,3799
422000,1806
422100,2284
422200,3339
422300,3888
422400,4265
422500,4332
422600,718
422700,4467
422800,8154
422900,4437
423000,5045
423100,4015
423200,2753
423300,3930
423400,5106
423500,3156
423601,2745
423602,6079
423700,3981
423800,3050
423901,1886
423902,1404
424001,3999
424002,2290
425101,1519
425102,2754
425103,2894
425104,3330
426100,6165
426200,4792
427100,3567
427200,4219
427300,4809
427600,5543
427700,4709
427800,4847
427900,4859
428000,3389
428100,4984
428200,6691
428301,6208
428302,6984
428400,4549
428500,3532
428600,2973
428700,3900
430101,6744
430102,2140
430200,6761
430300,3777
430400,2128
430500,6247
430600,5842
430700,3800
430800,6023
430900,4870
431000,2872
